CLUSTER,count,mean,std,min,25%,50%,75%,max
0.0,73433.0,48.93500973676685,17.50519773051436,0.08,35.0,50.0,63.0,102.0
1.0,49719.0,52.18775317283132,14.002770820283343,0.08,51.0,51.0,59.0,102.0
2.0,114702.0,52.46630050042721,18.755558720514564,0.08,38.0,53.0,67.0,106.0
3.0,192503.0,52.037597699776114,19.675570734353283,0.08,37.0,52.0,67.0,107.0
4.0,52726.0,52.01971152751964,16.84204832377568,0.08,40.0,51.0,65.0,102.0
5.0,53434.0,37.22237601527118,25.550245491856305,0.08,14.0,35.0,58.0,110.0
6.0,33723.0,51.40384544672775,23.31932362047994,0.08,32.0,53.0,71.0,107.0
7.0,84666.0,56.41713214277278,15.419218763950521,0.08,51.0,51.0,68.0,109.0
8.0,67792.0,50.216885325702144,15.036472892946852,0.08,42.0,51.0,58.0,102.0
9.0,20605.0,50.78294540160155,10.475883751171704,0.17,51.0,51.0,51.0,103.0
10.0,52186.0,50.62817077377075,17.629793133024364,0.08,37.0,51.0,65.0,103.0
11.0,25321.0,49.9596370601477,20.939732680104612,0.33,36.0,51.0,65.0,107.0
12.0,62485.0,47.27056845642955,15.160726006582758,0.08,36.0,48.0,58.0,103.0
13.0,54083.0,40.13710371096279,18.879348337802753,0.08,25.0,38.0,54.0,105.0
14.0,17971.0,48.995514996383065,23.307747416539545,0.25,30.0,51.0,68.0,104.0
