CLUSTER,SERIOUS_RATE,MEAN_AGE,N
0.0,0.08418558413792164,48.935009736766844,73433
1.0,0.09137351917777913,52.18775317283131,49719
2.0,0.4741591253857823,52.46630050042719,114702
3.0,0.32529882651179465,52.03759769977611,192503
4.0,0.044266585745173156,52.01971152751963,52726
5.0,0.020155706104727326,37.22237601527117,53434
6.0,0.4428728167719361,51.40384544672775,33723
7.0,0.07766990291262135,56.41713214277278,84666
8.0,0.11843580363464716,50.216885325702144,67792
9.0,0.1355496238776996,50.78294540160155,20605
10.0,0.062219752424021765,50.62817077377075,52186
11.0,0.0145333912562695,49.9596370601477,25321
12.0,0.0658718092342162,47.270568456429544,62485
13.0,0.2766488545383947,40.137103710962776,54083
14.0,0.0012241945356407545,48.995514996383065,17971
