CLUSTER,INTERCEPT,SLOPE,P_VALUE,R_SQUARED
1,0.042926712268791065,0.0040550762848586604,6.479189750797697e-12,0.4498537891954073
8,0.08986204825448509,-0.0025719512594027556,4.138534538867827e-06,0.3464469963149961
0,0.07724081563458365,-0.0012854655534268347,0.00019768631779783834,0.31128312671657754
12,0.06665266530864797,-0.0012564658431914067,0.0012165143553073238,0.29642708492050074
13,0.057530108297060775,-0.0009272872715600368,0.004620426820185354,0.20684921975211568
5,0.06494338650864913,0.0009110999027770728,0.016198362425803223,0.06832575001783636
3,0.20650575658357212,0.0007176013889744196,0.03887124271383026,0.01749624241764669
10,0.047141666043304865,-0.0006091562521138864,0.03994387536156847,0.12131190072417208
9,0.024390096486125685,-0.00030225662902377625,0.060651148700012585,0.12272506333448963
14,0.02844767037552083,0.00041359243082033465,0.29074410367929904,0.006707054394919143
6,0.0357718093547676,-7.890130594217145e-05,0.42332569815878507,0.012141209709067402
7,0.058828605832853695,0.0004770010403471219,0.46964434230467356,0.01212215103244041
11,0.04468262690083149,-0.00017975310444533058,0.5637525315910532,0.004775455355470526
2,0.12621715713648213,8.245722357370919e-05,0.7833034056285739,0.00146767217606103
4,0.0387084527869293,4.3874955521022156e-05,0.8946556179888965,0.00038880144457220656
