CLUSTER,F,M,U,UNKNOWN
0.0,0.7198262361608541,0.27439979300859285,0.005773970830553021,0.0
1.0,0.6021842756290352,0.298215973772602,0.09630121281602606,0.0032985377823367325
2.0,0.6528482502484699,0.3402381824205332,0.0068525396244180576,6.102770657878677e-05
3.0,0.6197357963252521,0.36630597964707046,0.013906276785296852,5.194724238063823e-05
4.0,0.7738307476387362,0.1991427379281569,0.027026514433107007,0.0
5.0,0.48379309054160274,0.43616423999700565,0.0800052401092937,3.7429352097915186e-05
6.0,0.5643626011920647,0.42795718055926224,0.007650564896361534,2.9653352311478814e-05
7.0,0.6053669713934755,0.2742659391018827,0.11994188930621501,0.00042520019842675927
8.0,0.6814078357328298,0.2638511918810479,0.05474097238612226,0.0
9.0,0.4551807813637467,0.29386071341907305,0.2504731861198738,0.000485319097306479
10.0,0.8368911202238148,0.15509906871574752,0.008009811060437666,0.0
11.0,0.4192567434145571,0.3798428182141306,0.20078195963824494,0.0001184787330674144
12.0,0.7196287108906138,0.2707689845562935,0.009602304553092742,0.0
13.0,0.6627406024074108,0.3304180611282658,0.006841336464323355,0.0
14.0,0.5127705748149797,0.44349229313894606,0.04373713204607423,0.0
