column,dtype,non_null_count,null_count
VAERS_ID,int64,986096,0
DIED,int8,986096,0
L_THREAT,int8,986096,0
ER_VISIT,int8,986096,0
ER_ED_VISIT,int8,986096,0
HOSPITAL,int8,986096,0
DISABLE,int8,986096,0
BIRTH_DEFECT,int8,986096,0
RECVDATE,datetime64[ns],986096,0
VAX_DATE,datetime64[ns],912143,73953
ONSET_DATE,datetime64[ns],888896,97200
DATEDIED,datetime64[ns],17175,968921
AGE_YRS,float64,986096,0
HOSPDAYS,float64,986096,0
NUMDAYS,float64,986096,0
SEX,string,986096,0
STATE,string,986096,0
VAX_TYPE,string,986096,0
SYMPTOM_TEXT,object,986096,0
LAB_DATA,object,986096,0
OTHER_MEDS,object,986096,0
CUR_ILL,object,986096,0
HISTORY,object,986096,0
PRIOR_VAX,object,986096,0
ALLERGIES,object,986096,0
VAX_MANU,object,986096,0
VAX_NAME,object,986096,0
VAX_DOSE_SERIES,object,986096,0
VAX_ROUTE,object,986096,0
VAX_SITE,object,986096,0
VAX_LOT,object,986096,0
SERIOUS,int8,986096,0
SEVERE,int8,986096,0
ONSET_INTERVAL,float64,986096,0
YEAR,Int64,986096,0
MONTH,Int64,986096,0
MAX_DOSE,float64,986096,0
DOSE_COUNT,int64,986096,0
MULTI_DOSE,int64,986096,0
UNKNOWN_DOSE,int64,986096,0
MANU__JANSSEN,int8,986096,0
MANU__MODERNA,int8,986096,0
MANU__NOVAVAX,int8,986096,0
MANU__PFIZER_BIONTECH,int8,986096,0
MANU__UNKNOWN_MANUFACTURER,int8,986096,0
MULTI_MANUFACTURER,int8,986096,0
AGE_YRS_MISSING,int8,986096,0
HOSPDAYS_MISSING,int8,986096,0
NUMDAYS_MISSING,int8,986096,0
ONSET_INTERVAL_MISSING,int8,986096,0
MAX_DOSE_MISSING,int8,986096,0
SYMPTOM_TEXT_CHAR_LEN,int64,986096,0
YEAR_MONTH,period[M],986096,0
HISTORY_NORM,object,986096,0
HISTORY_MISSING,int8,986096,0
HISTORY__cardiovascular,int8,986096,0
HISTORY__respiratory,int8,986096,0
HISTORY__metabolic,int8,986096,0
HISTORY__endocrine_thyroid,int8,986096,0
HISTORY__musculoskeletal,int8,986096,0
HISTORY__mental_health,int8,986096,0
HISTORY__gastrointestinal,int8,986096,0
HISTORY__kidney,int8,986096,0
HISTORY__clotting,int8,986096,0
HISTORY__autoimmune,int8,986096,0
HISTORY__cancer_immunocompromised,int8,986096,0
HISTORY__neurologic,int8,986096,0
HISTORY__lymphatic_edema,int8,986096,0
HISTORY__other,int8,986096,0
CUR_ILL_NORM,object,986096,0
CUR_ILL_MISSING,int8,986096,0
CUR_ILL__acute_infection,int8,986096,0
CUR_ILL__chronic_cardiovascular,int8,986096,0
CUR_ILL__chronic_respiratory,int8,986096,0
CUR_ILL__metabolic_endocrine,int8,986096,0
CUR_ILL__endocrine_thyroid,int8,986096,0
CUR_ILL__autoimmune_inflammatory,int8,986096,0
CUR_ILL__neurologic,int8,986096,0
CUR_ILL__neuro_headache,int8,986096,0
CUR_ILL__cancer_immunocompromised,int8,986096,0
CUR_ILL__lymphatic_edema,int8,986096,0
CUR_ILL__other,int8,986096,0
ALLERGIES_NORM,object,986096,0
ALLERGIES_MISSING,int8,986096,0
ALLERGIES__drug_allergy,int8,986096,0
ALLERGIES__food_allergy,int8,986096,0
ALLERGIES__latex_other_contact,int8,986096,0
ALLERGIES__anaphylaxis_history,int8,986096,0
ALLERGIES__other,int8,986096,0
PRIOR_VAX_NORM,object,986096,0
PRIOR_VAX_MISSING,int8,986096,0
PRIOR_VAX__prior_covid_vax,int8,986096,0
PRIOR_VAX__prior_flu_vax,int8,986096,0
PRIOR_VAX__prior_other_vax,int8,986096,0
PRIOR_VAX__prior_vax_reaction,int8,986096,0
PRIOR_VAX__other,int8,986096,0
LAB_DATA_NORM,object,986096,0
LAB_DATA_MISSING,int8,986096,0
LAB_DATA__cardiac_markers,int8,986096,0
LAB_DATA__coagulation,int8,986096,0
LAB_DATA__inflammation,int8,986096,0
LAB_DATA__cbc,int8,986096,0
LAB_DATA__vitals_procedures,int8,986096,0
LAB_DATA__other,int8,986096,0
OTHER_MEDS_NORM,object,986096,0
OTHER_MEDS_MISSING,int8,986096,0
OTHER_MEDS__anticoagulant,int8,986096,0
OTHER_MEDS__statin,int8,986096,0
OTHER_MEDS__immunosuppressant,int8,986096,0
OTHER_MEDS__diabetes_meds,int8,986096,0
OTHER_MEDS__thyroid_meds,int8,986096,0
OTHER_MEDS__psych_meds,int8,986096,0
OTHER_MEDS__other,int8,986096,0
