model,repeat,seed,pr_auc_mean,pr_auc_sd,f1_mean,precision_mean,recall_mean
logreg,0,42,0.8092135965683841,0.001630035647338694,0.7073795290239396,0.6113402771812112,0.8392367998488712
logreg,1,43,0.8091245069631214,0.002168070349160478,0.7085708003039105,0.6122952305454304,0.8407795724315985
logreg,2,44,0.8089094393677817,0.004655072246999183,0.7073138393581079,0.6115388666093861,0.8386700670633797
logreg,3,45,0.8086963197018532,0.0031476588722495237,0.7074587838471579,0.6114515693234827,0.8392367998488712
logreg,4,46,0.8093899796022836,0.0026369286894914806,0.7075241170487686,0.6116171739910844,0.8391108592298732
rf,0,42,0.7425749565506083,0.004662101138512889,0.6456426103268008,0.5486766732025385,0.7843109473883064
rf,1,43,0.7408236122912633,0.003737061138845812,0.6450728698019147,0.546209596533745,0.7876483737917571
rf,2,44,0.7428684963395097,0.0008997459138716528,0.6435858733575042,0.5447125589629431,0.7863259972922766
rf,3,45,0.7445182984699822,0.0019797271474836643,0.6456004176914265,0.5483333608165412,0.7848461950190485
rf,4,46,0.74372695658671,0.0034374431496999587,0.6473823081161264,0.5496124592651556,0.7874909480180096
dt,0,42,0.6092860380719208,0.0042957055005968334,0.6335069338909026,0.5422224396417298,0.7618462894745127
dt,1,43,0.6137923807848292,0.005002866295087299,0.6361939237483194,0.5487854291278443,0.756808664714587
dt,2,44,0.6101607029236442,0.001666586385159472,0.6350602307893479,0.5473142598663429,0.7564151002802179
dt,3,45,0.6116971366658995,0.0060916793691436965,0.6368115685224224,0.5483680769109869,0.759311734517175
dt,4,46,0.6135330527350638,0.004387254185156837,0.6357541805140091,0.546548755532284,0.759799754415793
